name,location,cuisines,rate,cost,online_order,book_table,cuisine_count
Combo Box,Koramangala 7th Block,"North Indian, Biryani, Chinese",3.0,500,Yes,No,3
HungerLoft,BTM,"North Indian, Chinese, Arabian",2.6,800,Yes,No,3
Billionaires Cafe,Koramangala 5th Block,"Cafe, Italian",3.8,600,No,No,2
Juice Fresco,Koramangala 4th Block,Beverages,3.4,150,Yes,No,1
Calvin's,Koramangala 5th Block,Desserts,3.8,800,Yes,No,1
Elmas Restaurant,Koramangala 7th Block,"North Indian, Kerala, Chinese, Biryani, Seafood, South Indian",3.5,650,Yes,No,6
Upahara Sagar,Jayanagar,"South Indian, North Indian, Chinese",3.0,300,No,No,3
Namms Cafe,Koramangala 2nd Block,"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian",3.2,300,Yes,No,6
Om Sweets & Snacks,Koramangala 5th Block,"Mithai, Oriya, Bengali",3.9,150,No,No,3
The Little Kitchen,JP Nagar,"Chinese, North Indian",3.5,300,Yes,No,2
Pabrai's Fresh & Naturelle Icecreams,Koramangala 5th Block,"Ice Cream, Desserts",3.9,200,Yes,No,2
Apsara Ice Cream,JP Nagar,"Ice Cream, Desserts",4.2,200,No,No,2
Anjappar,JP Nagar,"Chettinad, South Indian",3.1,650,No,No,2
Arun Icecreams,JP Nagar,Ice Cream,3.4,200,No,No,1
Cariocake,JP Nagar,"Bakery, Desserts",3.9,350,No,No,2
California Burrito,JP Nagar,"Mexican, Fast Food",3.3,400,No,No,2
Beach Hut,JP Nagar,"North Indian, Chinese",3.5,650,No,No,2
Rolls On Wheels,BTM,"Fast Food, Rolls, Momos",2.8,300,No,No,3
Targaryen's Kitchen,JP Nagar,"North Indian, Bengali, Chinese",3.6,550,No,No,3
Durbari Restaurant,JP Nagar,"North Indian, Chinese, Mughlai",3.2,600,No,No,3
Oggarne,Wilson Garden,"South Indian, North Indian, Chinese",3.2,300,No,No,3
Ghee Rice Family Restaurant,Wilson Garden,"North Indian, Chinese, Biryani",3.4,600,No,No,3
South Indian Kitchen,JP Nagar,"Asian, BBQ, South Indian, Chinese",3.3,300,No,No,4
Mongolian Kitchen,BTM,"Chinese, Mongolian",3.8,300,No,No,2
Kamat Swaad,JP Nagar,"South Indian, North Indian, Chinese",3.9,400,No,No,3
J Spice,Banashankari,"North Indian, Chinese",3.8,750,No,No,2
Lassi Magic,BTM,"Beverages, Sandwich",3.5,150,Yes,No,2
Special Biriyani,JP Nagar,"North Indian, Biryani",2.9,300,No,No,2
Parivaar,Koramangala 7th Block,"Biryani, North Indian, Chinese",2.9,600,Yes,No,3
Laa Raiba Restaurant,Bannerghatta Road,"Kerala, Chinese, South Indian",3.3,300,No,No,3
Natural Ice Cream,Jayanagar,"Ice Cream, Beverages",4.4,200,No,No,2
Amma's Pastries,Jayanagar,Bakery,4.2,400,No,No,1
Polar Bear,Jayanagar,"Ice Cream, Desserts, Beverages, Sandwich",4.0,400,Yes,No,4
Roll Over,Jayanagar,"Ice Cream, Beverages, Fast Food",4.1,500,Yes,No,3
Ibaco,Jayanagar,Desserts,4.0,300,Yes,No,1
Sri Venkateshwara Sweet Meat Stall,Jayanagar,Street Food,4.1,250,No,No,1
Sri Annapoorna Bajji Center,Jayanagar,"Mithai, Street Food",3.9,100,No,No,2
Bunny Bakers,Jayanagar,"Bakery, Fast Food",3.6,250,No,No,2
Jodhpur Sweets,Jayanagar,"Mithai, Street Food, Rajasthani",2.9,150,No,No,3
KC Das - Klassic Foods,Jayanagar,"Mithai, Street Food",3.0,200,No,No,2
Cakeport,Jayanagar,Bakery,3.4,400,No,No,1
Me And My Cake,Jayanagar,"Bakery, Desserts",3.3,500,No,No,2
Meraki Patisserie,Jayanagar,"Bakery, Desserts",3.3,350,No,No,2
Mother Nature Kulfi,Jayanagar,"Desserts, Ice Cream",3.6,200,No,No,2
Cafe Coffee Day,Jayanagar,"Cafe, Fast Food",3.5,900,No,No,2
CakeZone,BTM,"Bakery, Desserts",4.1,500,No,No,2
Old Mumbai Ice Cream,Banashankari,Ice Cream,4.0,150,Yes,No,1
Sweet Truth,JP Nagar,"Bakery, Desserts",3.8,500,Yes,No,2
Frozen Bottle,JP Nagar,"Beverages, Desserts, Ice Cream",3.7,400,Yes,No,3
M. R. G Sweets Angadi,JP Nagar,"Street Food, Mithai",3.3,150,No,No,2
Bombay Kulfis,JP Nagar,Ice Cream,3.3,200,No,No,1
The Cake Shop Mayura,JP Nagar,"Bakery, Desserts",3.6,800,No,No,2
Protein Grillhouse,Jayanagar,"Healthy Food, Continental, Juices, Salad, Burger, Beverages, Desserts",4.3,800,Yes,Yes,7
Sea Lions BBQ & Grills,Jayanagar,"North Indian, Chinese, Mughlai, Mexican, BBQ",4.6,1100,No,Yes,5
Meghana Foods,Jayanagar,"Biryani, North Indian, Chinese",4.5,600,Yes,No,3
Cable Car,Jayanagar,"North Indian, Italian",4.3,1000,Yes,Yes,2
Al-Bek,Jayanagar,"North Indian, Mughlai, Chinese, Seafood",4.0,650,Yes,No,4
Shanmukha,Jayanagar,"Biryani, Andhra, North Indian, Chinese",4.3,800,Yes,No,4
Eshanya,Jayanagar,"North Indian, Chinese",4.1,1000,Yes,Yes,2
Mainland China,Jayanagar,"Chinese, Momos",4.3,1700,Yes,Yes,2
Moghul Durbar Restaurant,Jayanagar,"North Indian, BBQ, Kebab, Rolls",4.0,550,No,No,4
Salut,Jayanagar,"Continental, Finger Food, Seafood, Pizza",4.1,1200,Yes,Yes,4
Fabcafe,Jayanagar,"Cafe, Healthy Food",3.8,800,No,Yes,2
Enerjuvate Studio & Cafe,Jayanagar,"Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",4.2,800,Yes,Yes,8
The Caramelts Cafe,Jayanagar,"Cafe, Salad, Wraps, Beverages",4.1,800,No,No,4
Cafe Cosy,Jayanagar,"Cafe, Chinese, Continental, Fast Food",4.2,800,No,Yes,4
Rajathadri Food Fort,Jayanagar,"South Indian, North Indian, Chinese, Street Food",4.0,600,Yes,No,4
Mangalore Pearl,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",3.8,650,Yes,No,4
Patio 805,Jayanagar,"Thai, Vietnamese, Asian, Chinese",4.0,1200,Yes,Yes,4
Eurasia Pasta and Barbeque by Little Italy,Jayanagar,"Italian, Fast Food, Salad, BBQ",4.0,1200,Yes,Yes,4
Karma Kaapi,Jayanagar,"Beverages, Tea",4.5,250,Yes,No,2
Chung's Chinese Corner,Jayanagar,Chinese,3.9,600,Yes,No,1
SlimSins Cafe,Jayanagar,"Cafe, Healthy Food",4.1,850,No,No,2
Cafe Ajfan,Jayanagar,"Cafe, Continental, Beverages",4.2,700,Yes,No,3
LIT Gastro Pub,Jayanagar,"Chinese, Continental, Burger, Pizza",3.4,1000,Yes,Yes,4
Krazzy Folds,Jayanagar,"Cafe, Continental, Sandwich, Beverages",4.2,800,Yes,Yes,4
The Blue Wagon - Kitchen,Jayanagar,"Cafe, Beverages",4.6,400,Yes,No,2
Golden Oak - La Marvella Sarovar Premiere Hotel,Jayanagar,"North Indian, Continental, Chinese, South Indian",3.9,1000,No,Yes,4
The Royal Corner - Pai Viceroy,Jayanagar,"North Indian, Chinese",4.2,900,Yes,Yes,2
Desi Rasoi,Jayanagar,"Biryani, North Indian, Chinese, Rajasthani",3.8,600,Yes,Yes,4
La Casa,Jayanagar,"Continental, Italian, Chinese, North Indian",3.6,800,No,Yes,4
Punjabi Raswada,Jayanagar,North Indian,3.6,800,Yes,Yes,1
Sri Udupi Food Hub,Jayanagar,"South Indian, North Indian, Chinese, Beverages",4.1,500,Yes,Yes,4
Starbucks,Jayanagar,"Cafe, Desserts",4.1,700,No,No,2
The Krishna Grand Xpress,Jayanagar,"South Indian, Fast Food",4.0,350,Yes,No,2
Euki,Jayanagar,"Italian, Mexican",4.0,900,Yes,Yes,2
Biriyani Mane,Jayanagar,"Biryani, Chinese, North Indian",3.7,700,Yes,No,3
Willys Top Cafe,Jayanagar,"Cafe, Continental, Asian",4.0,750,Yes,No,3
Empark Inn Restaurant,Jayanagar,"North Indian, Chinese, South Indian",3.7,350,No,No,3
Taj Durbar,Jayanagar,"North Indian, BBQ",3.8,400,No,No,2
Ragoo's,Jayanagar,"Italian, Pizza, North Indian, Salad",3.9,800,Yes,No,4
Curry Leaves,Jayanagar,"Andhra, North Indian, Chinese",3.8,600,Yes,No,3
Sukh Sagar,Jayanagar,"South Indian, North Indian, Chinese, Street Food",3.8,450,Yes,No,4
Restro Cafe,Jayanagar,Cafe,3.8,400,Yes,No,1
Uttar Karnataka Meals Restaurant,Jayanagar,South Indian,3.8,200,No,No,1
Hyderabad Bawarchi,Jayanagar,"North Indian, Biryani, Chinese",3.9,800,No,No,3
A2B Veg - Adyar Ananda Bhavan,Jayanagar,"South Indian, North Indian, Chinese, Street Food, Fast Food",2.8,400,Yes,No,5
De Thaali,Jayanagar,"North Indian, Chinese",3.9,550,Yes,No,2
Pizza Hut,Jayanagar,"Pizza, Fast Food",3.8,750,Yes,No,2
The Lounge - Eden Park Restaurants,Jayanagar,"North Indian, Afghan",3.7,1350,No,Yes,2
Nandhini Deluxe,Jayanagar,North Indian,3.6,600,No,No,1
City Durbar,Jayanagar,"North Indian, Chinese, Biryani",3.7,450,Yes,No,3
Navami,Jayanagar,"Andhra, North Indian, Chinese, Mangalorean, Seafood, Biryani",3.5,750,Yes,No,6
New Prashanth Hotel,Jayanagar,"South Indian, Biryani, Chinese, North Indian",3.7,750,Yes,No,4
Clove Rooftop,Jayanagar,"Konkan, Seafood",3.8,1000,No,Yes,2
La Grande Cafe,Jayanagar,Cafe,3.8,400,No,No,1
Rustic Stove,Jayanagar,"North Indian, South Indian, Biryani, Beverages",3.7,900,Yes,No,4
Pure & Natural,Jayanagar,"Healthy Food, Beverages, Fast Food",3.9,500,Yes,No,3
Cross Road Cafe,Jayanagar,"Cafe, Fast Food, Chinese",3.9,300,Yes,No,3
English Channel,Jayanagar,Finger Food,3.8,1200,No,No,1
Samskruti - Sanman Gardenia,Jayanagar,"North Indian, Chinese, South Indian",4.0,550,Yes,No,3
Sarvam's,Jayanagar,"North Indian, Chinese, Continental, Pizza",3.7,550,No,Yes,4
The Trundle,Jayanagar,"Chinese, Thai, Continental, North Indian",3.7,700,Yes,No,4
Kollapuri's,Jayanagar,Maharashtrian,3.6,600,No,No,1
Parivar,Jayanagar,"North Indian, Chinese",3.8,500,Yes,No,2
Tummy Fuel,Jayanagar,"Cafe, Beverages, Fast Food",4.1,400,Yes,No,3
Amaravathi Bar & Restaurant,Jayanagar,"North Indian, Chinese, Seafood",3.7,650,No,No,3
Iyengar's Inn,Jayanagar,South Indian,4.1,100,No,No,1
The Sofraah Kebabs & Kurries - Eden Park Restaurants,Jayanagar,"North Indian, Afghan",3.8,1350,No,Yes,2
Grazers,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",3.9,650,Yes,Yes,5
Karavali Family Restaurant,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese",3.5,500,Yes,No,5
Upahara Sagar,Jayanagar,"South Indian, North Indian, Chinese",3.0,300,No,No,3
Mug N Bean,Jayanagar,"Cafe, Continental, Italian, Burger",3.9,400,Yes,No,4
The Yellow Chilli,Jayanagar,"North Indian, Mughlai, Biryani",3.8,1200,Yes,Yes,3
Desi Cream Junction,Jayanagar,"Chinese, North Indian, Pizza, Italian",3.7,650,Yes,Yes,4
Brew Bakes,Jayanagar,"Cafe, Continental, Italian",3.4,550,No,No,3
Java City,Jayanagar,"Cafe, American, Pizza",2.5,450,Yes,No,3
Ugadi,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",2.9,700,No,No,5
21 C - La Marvella Sarovar Premiere Hotel,Jayanagar,Continental,3.6,1000,No,No,1
Pavithra Restaurant,Jayanagar,"South Indian, North Indian, Chinese",3.2,300,No,No,3
MRS Paradise,Jayanagar,"South Indian, North Indian, Chinese",3.4,650,No,No,3
Shree Sagar,Jayanagar,"North Indian, South Indian, Chinese",2.8,500,No,No,3
Shree Udupi Grand,Jayanagar,"South Indian, North Indian, Chinese",3.8,600,Yes,No,3
Canton,Jayanagar,"Chinese, Seafood, Biryani",3.4,800,Yes,No,3
Chat Wala,Jayanagar,Street Food,3.8,150,No,No,1
The Denny's,Jayanagar,"North Indian, Chinese",3.7,900,No,No,2
Lambsters,Jayanagar,"North Indian, Chinese",3.6,700,No,No,2
Hotel Smile,Jayanagar,"North Indian, Chinese",3.1,550,Yes,No,2
Kolkata Restaurant,Jayanagar,"Bengali, North Indian, Chinese",3.1,300,No,No,3
Chung Wah,Jayanagar,"Chinese, Thai, Momos",3.7,850,Yes,No,3
Halli Jonne Biriyani,Jayanagar,"Biryani, Kebab",4.2,400,No,No,2
KFC,Jayanagar,"Burger, Fast Food",3.3,400,Yes,No,2
Maiyas,Jayanagar,"North Indian, South Indian, Fast Food, Juices",4.0,200,Yes,No,4
Hari Super Sandwich,Jayanagar,"Fast Food, Street Food",4.4,200,No,No,2
Kabab Magic,Jayanagar,"North Indian, Kebab, Fast Food",4.0,500,Yes,No,3
Ilyazsab Shawarma Cafe,Jayanagar,"Fast Food, Rolls",3.6,300,Yes,No,2
Kailash Parbat,Jayanagar,"South Indian, Chinese, North Indian",3.9,1200,No,No,3
Rajanna Military Hotel,Jayanagar,"Biryani, Fast Food",4.1,400,Yes,No,2
Bengaluru Cafe,Jayanagar,South Indian,4.5,150,No,No,1
Bombay Talkies,Jayanagar,"Maharashtrian, Fast Food, Street Food, Sandwich",3.7,200,Yes,No,4
Vakulaa Veg Restaurant,Jayanagar,"South Indian, North Indian",3.9,200,Yes,No,2
Sri Sai 99 Variety Dosa,Jayanagar,South Indian,3.6,300,Yes,No,1
Brahmin Tiffins & Coffee,Jayanagar,South Indian,4.2,100,No,No,1
Upahara Darshini,Jayanagar,"South Indian, North Indian, Chinese",3.9,400,Yes,No,3
Burger King,Jayanagar,"Burger, Fast Food, Beverages",3.9,600,Yes,No,3
Domino's Pizza,Jayanagar,"Pizza, Fast Food",3.7,400,Yes,No,2
Ishta Cafe,Jayanagar,"Pizza, South Indian, Healthy Food",3.9,500,Yes,No,3
Pani Kum Chai,Jayanagar,Fast Food,3.9,200,Yes,No,1
Wat-a-Burger!,Jayanagar,"Burger, Sandwich, Beverages",3.9,500,Yes,No,3
Subway,Jayanagar,"Salad, Fast Food",3.1,600,Yes,No,2
SLV Ragigudda,Jayanagar,"South Indian, North Indian, Chinese",3.7,400,Yes,No,3
Food Springs,Jayanagar,"South Indian, Chinese",4.0,400,Yes,No,2
Karnataka Bhel House,Jayanagar,Street Food,3.9,100,No,No,1
Magic Meals,Jayanagar,"Fast Food, Desserts, Beverages",3.7,400,Yes,No,3
Uphar Dharshni,Jayanagar,"South Indian, North Indian",3.6,150,No,No,2
Petoo,Jayanagar,"North Indian, Fast Food, Street Food",3.9,800,Yes,No,3
McDonald's,Jayanagar,"Fast Food, Burger",3.7,500,Yes,No,2
Mysuru Coffee Thindi,Jayanagar,"South Indian, Coffee",4.1,200,Yes,No,2
Sandwichwallas,Jayanagar,Fast Food,3.9,200,Yes,No,1
J K Fish Land,Jayanagar,"Seafood, Mangalorean",3.6,300,Yes,No,2
Fanoos Xprss,Jayanagar,"Arabian, Rolls, North Indian, BBQ",3.7,400,Yes,No,4
Kalpavriksha Upahara,Jayanagar,"South Indian, North Indian, Chinese",4.0,400,Yes,No,3
Starlite Bakery & Fastfood,Jayanagar,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",3.9,300,Yes,No,7
Ande Ka Funda,Jayanagar,"Fast Food, North Indian",3.5,200,No,No,2
Rajvardhan Foods,Jayanagar,"Street Food, Maharashtrian",3.9,300,Yes,No,2
All Aromas,Jayanagar,"North Indian, Biryani",4.3,400,Yes,No,2
SGS Non Veg - Gundu Pulav,Jayanagar,"Biryani, Fast Food",3.4,400,Yes,No,2
Bakers77,Jayanagar,"Bakery, Fast Food",3.9,400,Yes,No,2
MDP Coffee House,Jayanagar,South Indian,3.8,200,No,No,1
Kaapi Kendra,Jayanagar,South Indian,3.7,100,Yes,No,1
Sandwich Hub,Jayanagar,"Fast Food, Sandwich",3.4,300,Yes,No,2
Bangalore Agarwal Bhavan,Jayanagar,"Street Food, North Indian, South Indian",3.9,400,Yes,No,3
New Udupi Upahar,Jayanagar,"South Indian, North Indian",3.3,300,Yes,No,2
Anda Ka Funda,Jayanagar,"North Indian, Chinese",3.2,300,Yes,No,2
Tangra Indo - Chinese Cuisine,Jayanagar,"Chinese, Thai",3.5,400,Yes,No,2
Chetty's Corner,Jayanagar,"Fast Food, Burger",3.6,150,Yes,No,2
Trendz Corner,Jayanagar,"South Indian, North Indian",3.6,200,No,No,2
Vasudev Adiga's,Jayanagar,"South Indian, North Indian, Chinese, Street Food",3.8,250,No,No,4
Paratha Junction,Jayanagar,"North Indian, Chinese",3.3,300,Yes,No,2
Vijayalakshmi Veg,Jayanagar,South Indian,3.9,200,Yes,No,1
Fishland Deluxe,Jayanagar,"South Indian, North Indian, Chinese, Kebab",3.5,500,No,No,4
36th Cross Coffee Mane,Jayanagar,"South Indian, Chinese, Beverages, Cafe, Coffee, Fast Food, Momos, North Indian",3.8,200,No,No,8
Ambur Star Dum Biryani,Jayanagar,Biryani,3.4,100,Yes,No,1
Donne Biriyani House,Jayanagar,"Biryani, Andhra, Kebab",3.6,400,Yes,No,3
Polar Bear,Jayanagar,"Desserts, Ice Cream, Beverages, Sandwich",3.8,400,Yes,No,4
Raghavendra Upahara,Jayanagar,South Indian,3.7,200,No,No,1
Nandhi Andhra Style Family Restaurant,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese, Kebab",3.4,400,Yes,No,6
Anand Donne Biriyani,Jayanagar,Biryani,3.7,200,Yes,No,1
Adiga's,Jayanagar,South Indian,3.7,150,No,No,1
Big Bites,Jayanagar,"Chinese, Fast Food",3.6,200,No,No,2
Vybhava,Jayanagar,"South Indian, North Indian",3.8,250,No,No,2
Leon Grill,Jayanagar,"Burger, Fast Food",4.1,500,Yes,No,2
Khan Saheb Grills and Rolls,Jayanagar,"Fast Food, Rolls",3.9,350,Yes,No,2
Jayanagar Grill House,Jayanagar,"Biryani, Kebab",3.5,250,Yes,No,2
Vinaya Cafe,Jayanagar,"South Indian, Street Food, Juices",3.4,200,Yes,No,3
Shree Venkateshwara North Karnataka Hotel,Jayanagar,South Indian,4.0,200,No,No,1
Wahab,Jayanagar,"North Indian, Mughlai, Chinese",3.7,350,Yes,No,3
Vennela Andhra Meals,Jayanagar,Andhra,3.0,400,Yes,No,1
Rotti Mane,Jayanagar,South Indian,3.7,200,No,No,1
Nandhanus Rasoi,Jayanagar,"Chinese, Rolls, North Indian",3.4,200,Yes,No,3
Brews N Bites,Jayanagar,"Chinese, Fast Food, Cafe",3.0,650,Yes,No,3
Jayanagara Donne Biryani,Jayanagar,"Biryani, South Indian",3.6,400,Yes,No,2
Kickin Burger,Jayanagar,Fast Food,3.1,400,Yes,No,1
Rakesh Kumar Pani Poori,Jayanagar,Street Food,3.7,100,No,No,1
Sangam Military Hotel,Jayanagar,South Indian,3.3,250,No,No,1
Crave Bite,Jayanagar,"Chinese, Italian, Fast Food, Momos",3.6,400,No,No,4
Just Bunny,Jayanagar,Fast Food,3.5,200,Yes,No,1
Chef Master,Jayanagar,"Kerala, North Indian, Chinese",3.8,300,Yes,No,3
Adithya,Jayanagar,"North Indian, Chinese",3.2,400,Yes,No,2
Pizza Stop,Jayanagar,"Pizza, Italian",3.4,600,Yes,No,2
Adithya,Jayanagar,"South Indian, North Indian, Chinese",3.7,300,No,No,3
Hotel Paradise,Jayanagar,Fast Food,3.3,200,No,No,1
Five Star Chicken,Jayanagar,"Fast Food, Burger",3.3,300,Yes,No,2
Shri Vinayaka Ice N Juice,Jayanagar,"Fast Food, Beverages",3.7,200,Yes,No,2
Shree Balaji Paratha House,Jayanagar,North Indian,3.0,200,No,No,1
Combo King Paramount,Jayanagar,"Chinese, Kerala",3.1,500,No,No,2
Saarangi Express,Jayanagar,"Fast Food, South Indian",3.4,250,No,No,2
The Little Kitchen,Jayanagar,"Chinese, Momos",3.7,300,No,No,2
Adithya Veg,Jayanagar,"South Indian, Chinese",3.3,300,No,No,2
Ramji Chaiwale,Jayanagar,"Beverages, Fast Food",3.6,250,Yes,No,2
Pappu Da Dhaba,Jayanagar,"North Indian, Fast Food, Beverages, Momos",3.2,400,Yes,No,4
Siddique Kabab Centre,Jayanagar,"Mughlai, Kebab, Chinese",3.1,550,Yes,No,3
Halli Rotti Manne,Jayanagar,South Indian,3.4,100,No,No,1
Chinese House,Jayanagar,"Chinese, Thai, Momos",2.9,300,Yes,No,3
The Pump House,JP Nagar,"Continental, Finger Food",4.3,1500,No,No,2
AB's - Absolute Barbecues,BTM,"European, Mediterranean, North Indian, BBQ",4.9,1600,No,Yes,4
Barbeque Nation,JP Nagar,"North Indian, European, Mediterranean, BBQ, Kebab",4.8,1600,No,Yes,5
Sattvam,JP Nagar,"North Indian, South Indian",4.3,1200,No,No,2
Brewsky,JP Nagar,"Continental, American",4.3,1600,Yes,Yes,2
Stories,JP Nagar,"American, Chinese, Continental, North Indian",4.3,1200,Yes,Yes,4
Three Dots & A Dash,JP Nagar,"European, Continental",4.3,1500,No,Yes,2
Chianti,Bannerghatta Road,Italian,4.5,1500,No,Yes,1
55 Wall Street,JP Nagar,"Finger Food, North Indian, Chinese",3.9,1300,No,Yes,3
Chulha Chauki Da Dhaba,JP Nagar,North Indian,4.3,800,Yes,No,1
Le Arabia,JP Nagar,"North Indian, Mughlai",4.2,600,Yes,No,2
Zaitoon,JP Nagar,"BBQ, Arabian, Chinese, North Indian, Desserts",4.1,1000,Yes,Yes,5
Paradise,JP Nagar,"Biryani, North Indian, Kebab",4.0,800,Yes,No,3
Nourich,JP Nagar,"Continental, Chinese, North Indian, Asian, Healthy Food, Fast Food",3.9,800,Yes,Yes,6
Crumb Together,JP Nagar,"Continental, Finger Food, North Indian, Chinese",4.1,1200,Yes,Yes,4
Checkpost,JP Nagar,"South Indian, Seafood, North Indian, Beverages",4.0,600,Yes,No,4
Baba Chatkora,JP Nagar,North Indian,3.7,1000,Yes,No,1
Nandhana Palace,JP Nagar,"Andhra, Biryani, North Indian, Chinese",4.3,800,No,Yes,4
Dr. Sheesha,JP Nagar,"Cafe, Chinese, Continental, Italian",4.2,800,No,Yes,4
The Rogue Elephant,Basavanagudi,"Desserts, Asian, Beverages",4.3,1000,No,Yes,3
Malabar Bay,BTM,"Kerala, Seafood, Chinese, Biryani, Juices",4.1,800,Yes,Yes,5
Galito's,Bannerghatta Road,"African, Burger",4.5,1000,Yes,No,2
Wamama,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",4.2,800,Yes,Yes,7
Bottle Breacher,JP Nagar,"Italian, Continental",4.1,1200,No,Yes,2
Churchill's,JP Nagar,"North Indian, Continental",4.1,1100,Yes,Yes,2
The Underpass Pub & Grub,JP Nagar,"Finger Food, Continental, North Indian, Chinese",4.0,1500,No,No,4
Vinny's,Banashankari,"Pizza, Italian, Continental, Desserts",4.2,800,Yes,Yes,4
Rajdhani Thali Restaurant,JP Nagar,North Indian,4.0,900,Yes,Yes,1
Narmadha's Hyderabad Biriyani,BTM,"Biryani, Hyderabadi",3.9,600,No,No,2
BEIR,Bannerghatta Road,"Mexican, American",3.6,800,Yes,No,2
Oye Amritsar,JP Nagar,North Indian,3.8,600,Yes,Yes,1
Skyline Pizzeria,JP Nagar,"Cafe, Bakery, Italian",4.0,600,No,No,3
Mockaholic Restro Beer Cafe,JP Nagar,"North Indian, Chinese, Pizza, BBQ",3.9,1000,Yes,No,4
Coastal Mama,JP Nagar,"Konkan, Mangalorean, North Indian, Seafood",4.1,700,No,Yes,4
Zhang's - Chinese Restaurant,JP Nagar,"Chinese, Momos",4.1,700,Yes,No,2
Dadi's Dum Biryani,BTM,"Biryani, North Indian, Mughlai",4.1,800,Yes,Yes,3
Polamma's Mess,BTM,"North Indian, Chinese, Biryani",4.2,300,Yes,No,3
Caffe Pascucci,JP Nagar,"Continental, Italian, Beverages",4.0,1300,Yes,Yes,3
Watson's,JP Nagar,"Finger Food, Chinese, Continental",4.0,1300,Yes,Yes,3
The Jade Kitchen,JP Nagar,"Chinese, Thai",3.9,600,Yes,No,2
Punjabi Times,Bannerghatta Road,North Indian,4.1,1000,Yes,Yes,1
D View Cafe,JP Nagar,"Cafe, Italian, Chinese, Beverages",4.0,1000,Yes,No,4
Mandi,JP Nagar,North Indian,3.8,800,Yes,Yes,1
Vaathsalya Millet Cafe,JP Nagar,"Healthy Food, South Indian",4.1,500,Yes,Yes,2
Ruh's Cafe,BTM,"Cafe, American, Italian, Continental, Chinese",4.1,500,Yes,No,5
Onesta,JP Nagar,"Pizza, Cafe, Italian",4.3,600,Yes,Yes,3
Swad Restaurant,BTM,"North Indian, Chinese, Seafood",3.7,500,Yes,No,3
Parkview,JP Nagar,"South Indian, North Indian, Chinese",4.0,300,No,No,3
Chicken County Grand,Bannerghatta Road,"North Indian, Chinese",3.9,650,Yes,No,2
Casa Piccosa,JP Nagar,"South American, Continental, Italian",4.1,1100,Yes,Yes,3
J Spice,Banashankari,"North Indian, Chinese",3.8,750,No,No,2
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,South Indian,4.1,150,Yes,No,1
Aramane Donne Biryani,JP Nagar,"Biryani, Fast Food",3.7,300,Yes,No,2
Namma Kudla,JP Nagar,"Mangalorean, North Indian, Chinese, Seafood",3.9,400,Yes,No,4
Mavalli Tiffin Room (MTR),JP Nagar,South Indian,4.2,300,No,No,1
Gujrati Mess,JP Nagar,Gujarati,3.7,200,Yes,No,1
Anjappar,JP Nagar,"Chettinad, South Indian",2.7,650,No,No,2
Bhojohori Manna,JP Nagar,"Bengali, Mughlai",3.8,650,Yes,No,2
California Burrito,JP Nagar,"Mexican, Fast Food",4.1,400,No,No,2
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,JP Nagar,Bohri,3.6,300,Yes,No,1
Madeena Hotel,Bannerghatta Road,"North Indian, Mughlai, Biryani",3.9,400,Yes,No,3
Cafe Vivacity,Banashankari,Cafe,3.8,650,Yes,No,1
Sri Lakshmi Curries & Pickles,JP Nagar,"Andhra, Biryani",2.9,400,No,No,2
Kannur Food Point,BTM,"Kerala, Chinese",4.0,200,No,No,2
Royal Paris,BTM,"North Indian, Arabian, Chinese",3.9,1000,Yes,No,3
Crave Bit Cafe,JP Nagar,Cafe,3.7,600,No,No,1
TAB - Take A Break,JP Nagar,"Cafe, Continental, Italian",4.1,550,No,No,3
Mecaf Family Restaurant,BTM,"North Indian, Chinese, Fast Food, Rolls, Beverages",3.9,600,Yes,No,5
The Shawarma Shop,BTM,Arabian,4.1,250,Yes,No,1
Roving Feast,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",4.0,450,No,No,5
Hara Fine Dine,Banashankari,"North Indian, Chinese",4.0,800,Yes,Yes,2
Savoury - Sea Shell Restaurant,Bannerghatta Road,"Arabian, North Indian, Chinese, Seafood, Biryani, Beverages",3.9,900,Yes,Yes,6
Nouvelle Garden,JP Nagar,"North Indian, Continental, Italian",3.7,900,No,No,3
Biryani Nights,Bannerghatta Road,"South Indian, North Indian, Chinese",3.5,400,Yes,No,3
Wudfyr,JP Nagar,"Fast Food, Italian, North Indian, Steak",3.8,700,Yes,No,4
Navya Foods,HSR,"North Indian, Fast Food",3.4,300,Yes,No,2
Black Cup Cafe,BTM,"Cafe, Fast Food, Beverages",3.7,400,Yes,No,3
Drunken Monkey,JP Nagar,"Beverages, Fast Food",3.7,400,Yes,No,2
